country,food_category,consumption,co2_emmission,continent
Argentina,Pork,10.51,37.2,South America
Argentina,Poultry,38.66,41.53,South America
Argentina,Beef,55.48,1712.0,South America
Argentina,Lamb & Goat,1.56,54.63,South America
Argentina,Fish,4.3599999999999985,6.96,South America
Argentina,Eggs,11.39,10.46,South America
Argentina,Milk - inc. cheese,195.08,277.87,South America
Argentina,Wheat and Wheat Products,103.11,19.66,South America
Argentina,Rice,8.77,11.22,South America
Argentina,Soybeans,0.0,0.0,South America
Argentina,Nuts inc. Peanut Butter,0.49,0.8700000000000001,South America
Australia,Pork,24.14,85.44000000000003,Oceania
Australia,Poultry,46.12000000000001,49.54,Oceania
Australia,Beef,33.86,1044.85,Oceania
Australia,Lamb & Goat,9.87,345.6500000000001,Oceania
Australia,Fish,17.69,28.25,Oceania
Australia,Eggs,8.51,7.8199999999999985,Oceania
Australia,Milk - inc. cheese,234.49,334.01,Oceania
Australia,Wheat and Wheat Products,70.46000000000002,13.44,Oceania
Australia,Rice,11.03,14.12,Oceania
Australia,Soybeans,0.19,0.09,Oceania
Australia,Nuts inc. Peanut Butter,8.729999999999999,15.45,Oceania
Albania,Pork,10.88,38.51,Europe
Albania,Poultry,13.23,14.21,Europe
Albania,Beef,22.5,694.3,Europe
Albania,Lamb & Goat,15.32,536.5,Europe
Albania,Fish,3.85,6.15,Europe
Albania,Eggs,12.45,11.44,Europe
Albania,Milk - inc. cheese,303.72,432.62,Europe
Albania,Wheat and Wheat Products,138.64,26.44,Europe
Albania,Rice,7.78,9.96,Europe
Albania,Soybeans,0.0,0.0,Europe
Albania,Nuts inc. Peanut Butter,4.3599999999999985,7.72,Europe
Iceland,Pork,21.69,76.77,Europe
Iceland,Poultry,26.87,28.86,Europe
Iceland,Beef,13.36,412.26,Europe
Iceland,Lamb & Goat,21.12,739.62,Europe
Iceland,Fish,74.41000000000003,118.81,Europe
Iceland,Eggs,8.239999999999998,7.57,Europe
Iceland,Milk - inc. cheese,225.82,321.66,Europe
Iceland,Wheat and Wheat Products,72.92,13.91,Europe
Iceland,Rice,3.89,4.98,Europe
Iceland,Soybeans,0.11,0.05,Europe
Iceland,Nuts inc. Peanut Butter,3.88,6.87,Europe
New Zealand,Pork,22.29,78.9,Oceania
New Zealand,Poultry,34.98,37.58,Oceania
New Zealand,Beef,22.49,693.99,Oceania
New Zealand,Lamb & Goat,18.91,662.23,Oceania
New Zealand,Fish,20.36,32.51,Oceania
New Zealand,Eggs,9.91,9.1,Oceania
New Zealand,Milk - inc. cheese,137.25,195.5,Oceania
New Zealand,Wheat and Wheat Products,76.91000000000003,14.67,Oceania
New Zealand,Rice,9.16,11.72,Oceania
New Zealand,Soybeans,0.44,0.2,Oceania
New Zealand,Nuts inc. Peanut Butter,8.219999999999999,14.55,Oceania
USA,Pork,27.64,97.83,North America
USA,Poultry,50.01,53.72000000000001,North America
USA,Beef,36.24,1118.29,North America
USA,Lamb & Goat,0.4300000000000001,15.06,North America
USA,Fish,12.35,19.72,North America
USA,Eggs,14.58,13.39,North America
